url,harga,alamat,LT,LB,KT,KM,Sertifikat,Dilihat
https://www.lamudi.co.id/properti/41032-73-db2aa76aaef3-57b4-19b8452-b11f-7a17,"Rp 2,60M",Surabaya,Luas Tanah: 275 m²,-,4 kamar tidur,2 kamar mandi,*⃣ *Sertifikat SHM*,-
https://www.lamudi.co.id/properti/41032-73-b1e314b1b5de-9be2-1999ebd-8754-7713,"Rp 4,50M",Surabaya,Luas Tanah: 250 m²,-,4 kamar tidur,2 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-4cb9b88e9452-668d-19b3089-8f54-7f9f,"Rp 5,70M",Surabaya,Luas Tanah: 216 m²,-,5 kamar tidur,5 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-df7797960b09-a038-19bc126-b17e-7524,Rp 695Jt,Surabaya,Luas Tanah: 67 m²,-,2 kamar tidur,1 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-31db80cdad35-2d0e-19ba1d9-ac0c-733a,"Rp 1,05M",Surabaya,Luas Tanah: 75 m²,-,2 kamar tidur,1 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-364106c69395-fc86-19acde1-8817-7439,"Rp 3,10M",Surabaya,Luas Tanah: 126 m²,-,4 kamar tidur,3 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-f22bd6355574-5d9f-199dba2-831e-7827,"Rp 3,30M",Surabaya,Luas Tanah: 125 m²,-,10 kamar tidur,10 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-e65f4481aeac-1447-19b73be-a721-7798,"Rp 2,85M",Surabaya,Luas Tanah: 160 m²,-,32 kamar tidur,32 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-282dbfca573d-95f0-19bdbd4-8644-78a0,"Rp 2,68M",Surabaya,Luas Tanah: 232 m²,-,4 kamar tidur,4 kamar mandi,*⃣ *Sertifikat SHM*,-
https://www.lamudi.co.id/properti/41032-73-3dacbbcfb63-9812-19b9d60-931b-7d67,"Rp 1,60M",Surabaya,Luas Tanah: 55 m²,-,3 kamar tidur,2 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-a4c50d1f4b2d-19e1-19b2040-b929-7783,Rp 700Jt,Surabaya,Luas Tanah: 45 m²,-,3 kamar tidur,2 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-1bbf19a969f4-9679-19a8e15-904b-7cd2,"Rp 4,50M",Surabaya,Luas Tanah: 128 m²,LUAS BANGUNAN : +- 150 M2,4 kamar tidur,3 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-cddd4c43214e-947a-1999f91-9401-72b7,"Rp 2,45M",Surabaya,Luas Tanah: 200 m²,-,4 kamar tidur,4 kamar mandi,SHM (*Sertifikat On Hand*),-
https://www.lamudi.co.id/properti/41032-73-b92900e37eea-49fb-19ba1c0-91db-7f9d,Rp 8M,Surabaya,Luas Tanah: 295 m²,-,4 kamar tidur,4 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-eacc180073c0-9f5b-1996112-9995-7511,Rp 5M,Surabaya,Luas Tanah: 344 m²,-,5 kamar tidur,4 kamar mandi,*⃣ *Sertifikat SHM*,-
https://www.lamudi.co.id/properti/41032-73-d88c230af9cd-3267-19acb8a-a6fd-714b,Rp 630Jt,Surabaya,Luas Tanah: 44 m²,-,2 kamar tidur,1 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-94973a949fb2-7c66-19b9eee-8b84-74e5,"Rp 5,24M",Surabaya,Luas Tanah: 300 m²,-,4 kamar tidur,3 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-b7fc001b8664-f60-19bb150-80ae-76f3,"Rp 1,85M",Surabaya,Luas Tanah: 78 m²,-,3 kamar tidur,3 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-37ecefd80dc4-5541-19aa4ec-b7b1-77c1,Rp 23M,Surabaya,Luas Tanah: 1.798 m²,-,10 kamar tidur,10 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-520e7ac8fb7f-2b22-19a3860-ad36-7d9c,"Rp 2,60M",Surabaya,Luas Tanah: 200 m²,-,4 kamar tidur,3 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-68d27aed8ed4-9e03-19bd176-baec-75ee,"Rp 6,60M",Surabaya,Luas Tanah: 670 m²,Luas Bangunan: 670 m²,6 kamar tidur,4 kamar mandi,Sertifikat: SHM,-
https://www.lamudi.co.id/properti/41032-73-6406576a56ef-4dd6-19bbbfe-9a15-74c0,"Rp 2,60M",Surabaya,Luas Tanah: 180 m²,-,-,4 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-e183c4223759-938a-19a96d7-b46e-72ed,Rp 5M,Surabaya,Luas Tanah: 250 m²,-,5 kamar tidur,4 kamar mandi,-,-
