URL,Wilayah,Kecamatan,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai,Harga Jual,Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Carport,Fasilitas Tambahan,"Siap Huni 
(Y/N)","Furnish 
(Y/N)",Watt Listrik,Dekat Pasar,Dekat Sekolah,Dekat Puskesmas/RS,Dekat Mall,Dekat Tempat Ibadah,Dekat Makam,Dekat Club House,Dekat Jalan Raya Utama,Worth-it,Votes_WorthIt,Votes_NotWorthIt
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-di-perumahan-forest-mansion-surabaya-barat,Barat,Lakarsantri,90,60,2,2,2.0,"Rp1,100,000,000",Belum,-,,3 mobil,1,733333296.9,,,3500,,,,,,,,,Worth-It,5,5
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-di-jalan-raya-kebraon-v,Barat,Karangpilang,105,140,4,3,2.0,"Rp960,000,000",Belum,-,,3 mobil,2,639999948.3,,,,,,,,,,,,Worth-It,6,4
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-surabaya-barat-di-permata-safira-regency,Barat,Lakarsantri,126,140,3,2,1.0,"Rp1,400,000,000",Belum,Barat Laut - Barat Daya,,2 mobil,1,933333273.9,,,2200,,,,,,,,,Worth-It,10,0
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-marmer-full-furnished-plus-garasi-carport-8-mobil-di-jl-kupang-indah-surabaya-barat,Barat,Dukuh Pakis,1016,1000,6,1,2.0,"Rp18,500,000,000",Belum,Utara,Hook trapesium,jalan kembar,4,12333332863.0,,Y,,,,,,,,,,Worth-It,7,3
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-surabaya-barat-brand-new-taman-golf-high-spec-di-citraland,Barat,Sambikerep,300,500,5,1,2.0,"Rp10,500,000,000",Belum,Utara,,12 meter,3,6999999835.0,,,,,,,,,,,,Not Worth-It,1,9
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-di-jl-satelit-indah-surabaya-barat-1,Barat,Sukomanunggal,225,162,4,1,1.0,"Rp2,700,000,000",Belum,Timur,,7 meter,1,1799999904.0,,,,,,,,,,,,Worth-It,8,2
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-lokasi-bagus-di-lakarsantri,Barat,Dukuh Pakis,99,110,3,3,2.0,"Rp1,300,000,000",Belum,Selatan,,,2,866666620.9,,Y,2200,,,,,,,,,Worth-It,9,1
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-2-lantai-harga-nego-di-bukit-palma-citraland,Barat,Pakal,120,150,3,1,2.0,"Rp1,700,000,000",Belum,-,,"2,5 mobil",2,1133333275.0,,,2200,,,,,,,,,Worth-It,8,2
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-wisma-lidah-kulon-dekat-universitas-siap-huni-di-lidah-kulon,Barat,Lakarsantri,105,120,2,2,1.0,"Rp950,000,000",Belum,Utara,,2 mobil,1,633333283.5,,,1300,,,,,,,,,Worth-It,6,4
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-bu-paling-murah-se-kompleks-di-forest-mansion,Barat,Wiyung,90,180,2,2,2.0,"Rp1,100,000,000",Belum,Selatan,,3 mobil,1,733333280.9,,N,3500,,,,,,,,,Worth-It,9,1
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-murah-nyaman-dan-asri-di-perumahan-pondok-benowo-indah-sby,Barat,Pakal,72,36,3,2,2.0,"Rp710,000,000",Belum,-,,2 mobil,1,473333306.2,,,1300,,,,,,,,,Worth-It,6,4
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-di-new-graha-suryanata-blok-e6-26,Barat,Pakal,72,90,2,1,1.0,"Rp385,000,000",Belum,-,,2 mobil,1,256666631.5,,,1300,,,,,,,,,Not Worth-It,4,6
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-surabaya-barat-bebas-banjir-dekat-pintu-tol-di-pondok-maritim-indah,Barat,Wiyung,101,90,4,2,2.0,"Rp1,300,000,000",Belum,Selatan,,,1,866666622.7,,,1300,,,,,,,,,Worth-It,10,0
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-murah-luas-raya-gwalk-citraland-komersial-area-di-jl-puri-widya-kencana-citraland-surabaya,Barat,Lakarsantri,930,790,4,1,2.0,"Rp22,000,000,000",Belum,Selatan,,7 meter,4,14666666253.0,,,,,,,,,,,,Not Worth-It,1,9
